dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SIR003_sl1000_mr05_nv10_17,0.75,0.429,0.545,0.75,0.429,0.545
SIR003_sl1000_mr05_nv10_18,0.8,0.696,0.744,0.762,0.696,0.727
SIR003_sl1000_mr05_nv10_19,0.806,0.784,0.795,0.833,0.811,0.822
SIR003_sl1000_mr05_nv10_2,0.933,0.933,0.933,0.933,0.933,0.933
SIR003_sl1000_mr05_nv10_20,0.75,0.333,0.462,0.75,0.333,0.462
SIR003_sl1000_mr05_nv10_3,0.875,0.7,0.778,0.875,0.7,0.778
SIR003_sl1000_mr05_nv10_4,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_5,0.613,0.413,0.494,0.645,0.435,0.519
SIR003_sl1000_mr05_nv10_6,0.722,0.619,0.667,0.722,0.619,0.667
SIR003_sl1000_mr05_nv10_7,0.857,0.783,0.818,0.857,0.783,0.818
SIR003_sl1000_mr05_nv10_8,0.81,0.739,0.773,0.805,0.717,0.759
SIR003_sl1000_mr05_nv10_9,0.824,0.467,0.596,0.867,0.433,0.578
SIR003_sl1000_mr05_nv20_1,0.767,0.657,0.708,0.806,0.714,0.758
SIR003_sl1000_mr05_nv20_10,0.955,0.808,0.875,0.955,0.808,0.875
SIR003_sl1000_mr05_nv20_11,1,0.4,0.571,1,0.4,0.571
SIR003_sl1000_mr05_nv20_12,0.776,0.691,0.731,0.792,0.691,0.738
SIR003_sl1000_mr05_nv20_13,0.864,0.704,0.776,0.864,0.704,0.776
SIR003_sl1000_mr05_nv20_14,0.909,1,0.952,0.9,0.9,0.9
SIR003_sl1000_mr05_nv20_15,0.867,0.684,0.765,0.867,0.684,0.765
SIR003_sl1000_mr05_nv20_16,0.861,0.721,0.785,0.857,0.698,0.769
SIR003_sl1000_mr05_nv20_17,0.854,0.7,0.769,0.833,0.7,0.761
SIR003_sl1000_mr05_nv20_18,0.818,0.711,0.761,0.818,0.711,0.761
SIR003_sl1000_mr05_nv20_19,0.839,0.703,0.765,0.844,0.73,0.783
SIR003_sl1000_mr05_nv20_2,0.821,0.653,0.727,0.805,0.673,0.733
SIR003_sl1000_mr05_nv20_20,0.857,0.857,0.857,0.857,0.857,0.857
SIR003_sl1000_mr05_nv20_3,0.889,0.615,0.727,0.8,0.615,0.696
SIR003_sl1000_mr05_nv20_4,0.839,0.812,0.825,0.839,0.812,0.825
SIR003_sl1000_mr05_nv20_5,0.842,0.667,0.744,0.842,0.667,0.744
SIR003_sl1000_mr05_nv20_6,0.909,0.714,0.8,0.909,0.714,0.8
SIR003_sl1000_mr05_nv20_7,0.818,0.75,0.783,0.818,0.75,0.783
SIR003_sl1000_mr05_nv20_8,0.708,0.63,0.667,0.708,0.63,0.667
SIR003_sl1000_mr05_nv20_9,0.833,0.75,0.789,0.833,0.75,0.789
SIR003_sl1000_mr05_nv5_1,0.75,0.686,0.716,0.781,0.714,0.746
SIR003_sl1000_mr05_nv5_10,0.857,0.732,0.789,0.909,0.732,0.811
SIR003_sl1000_mr05_nv5_11,0.765,0.629,0.69,0.74,0.597,0.661
SIR003_sl1000_mr05_nv5_12,0.857,1,0.923,1,1,1
SIR003_sl1000_mr05_nv5_13,0.833,0.909,0.87,0.833,0.909,0.87
SIR003_sl1000_mr05_nv5_14,0.773,0.586,0.667,0.773,0.586,0.667
SIR003_sl1000_mr05_nv5_15,0.843,0.694,0.761,0.84,0.677,0.75
SIR003_sl1000_mr05_nv5_16,0.833,0.833,0.833,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_17,0.75,0.562,0.643,0.75,0.562,0.643
SIR003_sl1000_mr05_nv5_18,0.812,0.812,0.812,0.812,0.812,0.812
SIR003_sl1000_mr05_nv5_19,0.643,0.529,0.581,0.655,0.559,0.603
SIR003_sl1000_mr05_nv5_2,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_20,0.75,0.692,0.72,0.75,0.692,0.72
SIR003_sl1000_mr05_nv5_3,0.667,0.75,0.706,0.75,0.75,0.75
SIR003_sl1000_mr05_nv5_4,0.917,0.786,0.846,1,0.786,0.88
SIR003_sl1000_mr05_nv5_5,1,0.636,0.778,1,0.636,0.778
SIR003_sl1000_mr05_nv5_6,0.8,0.364,0.5,0.8,0.364,0.5
SIR003_sl1000_mr05_nv5_7,0.827,0.581,0.683,0.811,0.581,0.677
SIR003_sl1000_mr05_nv5_8,0.857,0.48,0.615,0.923,0.48,0.632
SIR003_sl1000_mr05_nv5_9,0.652,0.625,0.638,0.652,0.625,0.638
SIR003_sl1000_mr1_nv10_1,0.857,0.706,0.774,0.733,0.647,0.688
SIR003_sl1000_mr1_nv10_10,0.667,0.545,0.6,0.625,0.455,0.526
SIR003_sl1000_mr1_nv10_11,0.778,0.7,0.737,0.7,0.7,0.7
SIR003_sl1000_mr1_nv10_12,0.545,0.444,0.49,0.522,0.444,0.48
SIR003_sl1000_mr1_nv10_13,0.167,0.167,0.167,0.167,0.167,0.167
SIR003_sl1000_mr1_nv10_14,0.897,0.722,0.8,0.9,0.75,0.818
SIR003_sl1000_mr1_nv10_15,0.636,0.636,0.636,0.636,0.636,0.636
SIR003_sl1000_mr1_nv10_16,0.769,0.5,0.606,0.769,0.5,0.606
SIR003_sl1000_mr1_nv10_17,0.786,0.688,0.733,0.786,0.688,0.733
SIR003_sl1000_mr1_nv10_18,0.926,0.758,0.833,0.926,0.758,0.833
SIR003_sl1000_mr1_nv10_19,0.82,0.641,0.719,0.837,0.641,0.726
SIR003_sl1000_mr1_nv10_2,0.714,0.635,0.672,0.727,0.635,0.678
SIR003_sl1000_mr1_nv10_20,0.821,0.667,0.736,0.804,0.652,0.72
SIR003_sl1000_mr1_nv10_3,0.792,0.826,0.809,0.792,0.826,0.809
SIR003_sl1000_mr1_nv10_4,0.923,0.828,0.873,0.923,0.828,0.873
SIR003_sl1000_mr1_nv10_5,1,0.556,0.714,1,0.556,0.714
SIR003_sl1000_mr1_nv10_6,0.909,0.667,0.769,0.909,0.667,0.769
SIR003_sl1000_mr1_nv10_7,0.833,0.625,0.714,0.833,0.625,0.714
SIR003_sl1000_mr1_nv10_8,0.897,0.743,0.812,0.897,0.743,0.812
SIR003_sl1000_mr1_nv10_9,1,0.667,0.8,1,0.667,0.8
SIR003_sl250_mr05_nv10_1,0.606,0.625,0.615,0.606,0.625,0.615
SIR003_sl250_mr05_nv10_10,0.55,0.579,0.564,0.526,0.526,0.526
SIR003_sl250_mr05_nv10_11,0.667,0.5,0.571,0.5,0.417,0.455
SIR003_sl250_mr05_nv10_12,0.429,0.462,0.444,0.4,0.462,0.429
SIR003_sl250_mr05_nv10_13,0.75,0.429,0.545,0.75,0.429,0.545
SIR003_sl250_mr05_nv10_14,0.75,0.75,0.75,0.75,0.75,0.75
SIR003_sl250_mr05_nv10_15,0.857,0.75,0.8,0.857,0.75,0.8
SIR003_sl250_mr05_nv10_16,0.538,0.636,0.583,0.538,0.636,0.583
SIR003_sl250_mr05_nv10_17,0.689,0.689,0.689,0.689,0.689,0.689
SIR003_sl250_mr05_nv10_18,0.7,0.519,0.596,0.7,0.519,0.596
SIR003_sl250_mr05_nv10_19,0.4,0.32,0.356,0.381,0.32,0.348
SIR003_sl250_mr05_nv10_2,0.714,0.714,0.714,0.786,0.786,0.786
SIR003_sl250_mr05_nv10_20,0.625,0.61,0.617,0.641,0.61,0.625
SIR003_sl250_mr05_nv10_3,0.9,0.818,0.857,0.9,0.818,0.857
SIR003_sl250_mr05_nv10_4,0.769,0.833,0.8,0.769,0.833,0.8
SIR003_sl250_mr05_nv10_5,0.739,0.773,0.756,0.739,0.773,0.756
SIR003_sl250_mr05_nv10_6,0.806,0.758,0.781,0.8,0.727,0.762
SIR003_sl250_mr05_nv10_7,0.475,0.413,0.442,0.465,0.435,0.449
SIR003_sl250_mr05_nv10_8,0.45,0.529,0.486,0.45,0.529,0.486
SIR003_sl250_mr05_nv10_9,0.462,0.667,0.545,0.417,0.556,0.476
SIR003_sl500_mr05_nv10_1,0.667,0.857,0.75,0.857,0.857,0.857
SIR003_sl500_mr05_nv10_10,0.75,0.538,0.627,0.741,0.513,0.606
SIR003_sl500_mr05_nv10_11,0.833,0.833,0.833,0.833,0.833,0.833
SIR003_sl500_mr05_nv10_12,0.81,0.654,0.723,0.739,0.654,0.694
SIR003_sl500_mr05_nv10_13,0.733,0.688,0.71,0.767,0.688,0.725
SIR003_sl500_mr05_nv10_14,0.69,0.606,0.645,0.714,0.606,0.656
SIR003_sl500_mr05_nv10_15,0.95,1,0.974,0.947,0.947,0.947
SIR003_sl500_mr05_nv10_16,0.538,0.583,0.56,0.538,0.583,0.56
SIR003_sl500_mr05_nv10_17,0.667,0.8,0.727,0.727,0.8,0.762
SIR003_sl500_mr05_nv10_18,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl500_mr05_nv10_19,0.692,0.6,0.643,0.692,0.6,0.643
SIR003_sl500_mr05_nv10_2,0.844,0.794,0.818,0.818,0.794,0.806
SIR003_sl500_mr05_nv10_20,0.667,0.5,0.571,0.667,0.5,0.571
SIR003_sl500_mr05_nv10_3,0.846,0.759,0.8,0.846,0.759,0.8
SIR003_sl500_mr05_nv10_4,0.8,0.615,0.696,0.8,0.615,0.696
SIR003_sl500_mr05_nv10_5,0.857,0.6,0.706,0.889,0.8,0.842
SIR003_sl500_mr05_nv10_6,0.833,0.714,0.769,0.789,0.714,0.75
SIR003_sl500_mr05_nv10_7,0.667,0.778,0.718,0.667,0.778,0.718
SIR003_sl500_mr05_nv10_8,0.647,0.733,0.688,0.667,0.667,0.667
SIR003_sl500_mr05_nv10_9,0.857,0.857,0.857,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_1,0.836,0.807,0.821,0.833,0.789,0.811
SIR01_sl1000_mr075_nv10_10,1,0.75,0.857,1,0.75,0.857
SIR01_sl1000_mr075_nv10_11,1,1,1,1,1,1
SIR01_sl1000_mr075_nv10_12,0.889,0.8,0.842,0.889,0.8,0.842
SIR01_sl1000_mr075_nv10_13,0.778,0.5,0.609,0.7,0.5,0.583
SIR01_sl1000_mr075_nv10_14,0.667,0.857,0.75,0.667,0.571,0.615
SIR01_sl1000_mr075_nv10_15,0.833,0.833,0.833,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_16,0.8,0.889,0.842,0.789,0.833,0.811
SIR01_sl1000_mr075_nv10_17,0.839,0.662,0.74,0.831,0.69,0.754
SIR01_sl1000_mr075_nv10_18,0.833,0.909,0.87,0.833,0.909,0.87
SIR01_sl1000_mr075_nv10_19,0.75,0.273,0.4,0.75,0.273,0.4
SIR01_sl1000_mr075_nv10_2,1,0.636,0.778,1,0.636,0.778
SIR01_sl1000_mr075_nv10_20,0.76,0.633,0.691,0.792,0.633,0.704
SIR01_sl1000_mr075_nv10_3,0.714,0.455,0.556,0.714,0.455,0.556
SIR01_sl1000_mr075_nv10_4,0.861,0.816,0.838,0.889,0.842,0.865
SIR01_sl1000_mr075_nv10_5,0.9,0.703,0.789,0.9,0.703,0.789
SIR01_sl1000_mr075_nv10_6,0.75,0.75,0.75,0.75,0.75,0.75
SIR01_sl1000_mr075_nv10_7,0.909,0.833,0.87,0.909,0.833,0.87
SIR01_sl1000_mr075_nv10_8,0.818,0.562,0.667,0.818,0.562,0.667
SIR01_sl1000_mr075_nv10_9,0.895,0.63,0.739,0.895,0.63,0.739
SIR01_sl1000_mr15_nv10_1,0.783,0.571,0.661,0.778,0.556,0.648
SIR01_sl1000_mr15_nv10_10,0.778,0.656,0.712,0.724,0.656,0.689
SIR01_sl1000_mr15_nv10_11,0.875,0.583,0.7,0.778,0.583,0.667
SIR01_sl1000_mr15_nv10_12,0.733,0.458,0.564,0.733,0.458,0.564
SIR01_sl1000_mr15_nv10_13,1,0.588,0.741,1,0.588,0.741
SIR01_sl1000_mr15_nv10_14,1,1,1,1,1,1
SIR01_sl1000_mr15_nv10_15,0.733,0.579,0.647,0.714,0.526,0.606
SIR01_sl1000_mr15_nv10_16,0.556,0.714,0.625,0.625,0.714,0.667
SIR01_sl1000_mr15_nv10_17,0.938,0.75,0.833,1,0.75,0.857
SIR01_sl1000_mr15_nv10_18,0.821,0.667,0.736,0.821,0.667,0.736
SIR01_sl1000_mr15_nv10_19,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl1000_mr15_nv10_2,1,0.615,0.762,1,0.538,0.7
SIR01_sl1000_mr15_nv10_20,0.7,0.778,0.737,0.7,0.778,0.737
SIR01_sl1000_mr15_nv10_3,0.882,0.763,0.818,0.882,0.763,0.818
SIR01_sl1000_mr15_nv10_4,0.8,0.5,0.615,0.8,0.5,0.615
SIR01_sl1000_mr15_nv10_5,1,0.8,0.889,1,0.8,0.889
SIR01_sl1000_mr15_nv10_6,0.778,1,0.875,1,1,1
SIR01_sl1000_mr15_nv10_7,0.872,0.68,0.764,0.85,0.68,0.756
SIR01_sl1000_mr15_nv10_8,1,0.6,0.75,1,0.6,0.75
SIR01_sl1000_mr15_nv10_9,0.789,0.714,0.75,0.789,0.714,0.75
SIR01_sl1000_mr15_nv20_1,0.909,0.625,0.741,0.909,0.625,0.741
SIR01_sl1000_mr15_nv20_10,1,0.692,0.818,1,0.692,0.818
SIR01_sl1000_mr15_nv20_11,0.85,0.864,0.857,0.852,0.881,0.867
SIR01_sl1000_mr15_nv20_12,0.889,0.533,0.667,0.889,0.533,0.667
SIR01_sl1000_mr15_nv20_13,0.833,0.833,0.833,0.833,0.833,0.833
SIR01_sl1000_mr15_nv20_14,0.4,0.4,0.4,0.4,0.4,0.4
SIR01_sl1000_mr15_nv20_15,0.5,0.357,0.417,0.5,0.357,0.417
SIR01_sl1000_mr15_nv20_16,0.947,0.857,0.9,0.947,0.857,0.9
SIR01_sl1000_mr15_nv20_17,0.714,0.714,0.714,0.714,0.714,0.714
SIR01_sl1000_mr15_nv20_18,0.931,0.9,0.915,0.964,0.9,0.931
SIR01_sl1000_mr15_nv20_19,0.933,0.824,0.875,0.933,0.824,0.875
SIR01_sl1000_mr15_nv20_2,0.833,0.5,0.625,0.833,0.5,0.625
SIR01_sl1000_mr15_nv20_20,0.857,0.857,0.857,0.857,0.857,0.857
SIR01_sl1000_mr15_nv20_3,1,0.6,0.75,1,0.4,0.571
SIR01_sl1000_mr15_nv20_4,0.893,0.725,0.8,0.893,0.725,0.8
SIR01_sl1000_mr15_nv20_5,0.75,0.6,0.667,0.75,0.6,0.667
SIR01_sl1000_mr15_nv20_6,0.7,0.875,0.778,0.778,0.875,0.824
SIR01_sl1000_mr15_nv20_7,0.923,0.857,0.889,0.923,0.857,0.889
SIR01_sl1000_mr15_nv20_8,0.949,0.771,0.851,0.949,0.771,0.851
SIR01_sl1000_mr15_nv20_9,0.905,0.731,0.809,0.905,0.731,0.809
SIR01_sl1000_mr15_nv5_1,0.81,0.607,0.694,0.81,0.607,0.694
SIR01_sl1000_mr15_nv5_10,0.889,0.727,0.8,1,0.727,0.842
SIR01_sl1000_mr15_nv5_11,0.714,0.556,0.625,0.714,0.556,0.625
SIR01_sl1000_mr15_nv5_12,0.647,0.478,0.55,0.611,0.478,0.537
SIR01_sl1000_mr15_nv5_13,0.765,0.812,0.788,0.765,0.812,0.788
SIR01_sl1000_mr15_nv5_14,0.778,0.636,0.7,0.778,0.636,0.7
SIR01_sl1000_mr15_nv5_15,0.732,0.667,0.698,0.732,0.667,0.698
SIR01_sl1000_mr15_nv5_16,0.571,0.444,0.5,0.571,0.444,0.5
SIR01_sl1000_mr15_nv5_17,0.875,0.875,0.875,0.875,0.875,0.875
SIR01_sl1000_mr15_nv5_18,1,0.778,0.875,1,0.778,0.875
SIR01_sl1000_mr15_nv5_19,0.733,0.524,0.611,0.75,0.571,0.649
SIR01_sl1000_mr15_nv5_2,0.69,0.571,0.625,0.75,0.6,0.667
SIR01_sl1000_mr15_nv5_20,0.917,0.647,0.759,0.917,0.647,0.759
SIR01_sl1000_mr15_nv5_3,0.5,0.333,0.4,0.4,0.222,0.286
SIR01_sl1000_mr15_nv5_4,0.917,0.44,0.595,0.917,0.44,0.595
SIR01_sl1000_mr15_nv5_5,0.667,0.545,0.6,0.667,0.545,0.6
SIR01_sl1000_mr15_nv5_6,0.917,0.478,0.629,0.846,0.478,0.611
SIR01_sl1000_mr15_nv5_7,1,0.5,0.667,1,0.5,0.667
SIR01_sl1000_mr15_nv5_8,0.6,0.375,0.462,0.6,0.375,0.462
SIR01_sl1000_mr15_nv5_9,0.812,0.553,0.658,0.794,0.574,0.667
SIR01_sl1000_mr3_nv10_1,0.846,0.733,0.786,0.88,0.733,0.8
SIR01_sl1000_mr3_nv10_10,1,0.778,0.875,1,0.667,0.8
SIR01_sl1000_mr3_nv10_11,0.905,0.667,0.768,0.907,0.684,0.78
SIR01_sl1000_mr3_nv10_12,0.862,0.735,0.794,0.862,0.735,0.794
SIR01_sl1000_mr3_nv10_13,0.885,0.639,0.742,0.88,0.611,0.721
SIR01_sl1000_mr3_nv10_14,0.88,0.786,0.83,0.88,0.786,0.83
SIR01_sl1000_mr3_nv10_15,0.75,0.333,0.462,0.8,0.444,0.571
SIR01_sl1000_mr3_nv10_16,0.926,0.781,0.847,0.926,0.781,0.847
SIR01_sl1000_mr3_nv10_17,1,0.8,0.889,1,0.8,0.889
SIR01_sl1000_mr3_nv10_18,0.941,0.667,0.78,0.944,0.708,0.81
SIR01_sl1000_mr3_nv10_19,0.875,0.467,0.609,1,0.467,0.636
SIR01_sl1000_mr3_nv10_2,0.778,0.778,0.778,0.778,0.778,0.778
SIR01_sl1000_mr3_nv10_20,0.667,0.667,0.667,0.667,0.667,0.667
SIR01_sl1000_mr3_nv10_3,0.778,0.7,0.737,0.875,0.7,0.778
SIR01_sl1000_mr3_nv10_4,0.9,0.75,0.818,0.9,0.75,0.818
SIR01_sl1000_mr3_nv10_5,0.826,0.679,0.745,0.826,0.679,0.745
SIR01_sl1000_mr3_nv10_6,0.767,0.611,0.68,0.791,0.63,0.701
SIR01_sl1000_mr3_nv10_7,0.812,0.565,0.667,0.812,0.565,0.667
SIR01_sl1000_mr3_nv10_8,1,0.6,0.75,1,0.6,0.75
SIR01_sl1000_mr3_nv10_9,1,0.552,0.711,1,0.552,0.711
SIR01_sl250_mr15_nv10_1,0.591,0.765,0.667,0.571,0.706,0.632
SIR01_sl250_mr15_nv10_10,0.783,0.643,0.706,0.761,0.625,0.686
SIR01_sl250_mr15_nv10_11,0.571,0.5,0.533,0.571,0.5,0.533
SIR01_sl250_mr15_nv10_12,0.579,0.579,0.579,0.579,0.579,0.579
SIR01_sl250_mr15_nv10_13,0.556,0.385,0.455,0.556,0.385,0.455
SIR01_sl250_mr15_nv10_14,0.533,0.533,0.533,0.5,0.533,0.516
SIR01_sl250_mr15_nv10_15,0.333,0.25,0.286,0.286,0.25,0.267
SIR01_sl250_mr15_nv10_16,0.593,0.696,0.64,0.64,0.696,0.667
SIR01_sl250_mr15_nv10_17,0.875,1,0.933,1,1,1
SIR01_sl250_mr15_nv10_18,0.545,0.6,0.571,0.478,0.55,0.512
SIR01_sl250_mr15_nv10_19,0.75,0.857,0.8,0.75,0.857,0.8
SIR01_sl250_mr15_nv10_2,0.5,0.667,0.571,0.5,0.667,0.571
SIR01_sl250_mr15_nv10_20,0.429,0.429,0.429,0.429,0.429,0.429
SIR01_sl250_mr15_nv10_3,0.667,0.571,0.615,0.667,0.571,0.615
SIR01_sl250_mr15_nv10_4,0.467,0.583,0.519,0.545,0.5,0.522
SIR01_sl250_mr15_nv10_5,0.727,0.889,0.8,0.727,0.889,0.8
SIR01_sl250_mr15_nv10_6,0.476,0.465,0.471,0.5,0.465,0.482
SIR01_sl250_mr15_nv10_7,0.676,0.561,0.613,0.697,0.561,0.622
SIR01_sl250_mr15_nv10_8,0.714,0.556,0.625,0.714,0.556,0.625
SIR01_sl250_mr15_nv10_9,0.5,0.4,0.444,0.5,0.4,0.444
SIR01_sl500_mr15_nv10_1,1,0.6,0.75,1,0.4,0.571
SIR01_sl500_mr15_nv10_10,0.636,0.538,0.583,0.636,0.538,0.583
SIR01_sl500_mr15_nv10_11,0.857,0.706,0.774,0.786,0.647,0.71
SIR01_sl500_mr15_nv10_12,0.5,0.5,0.5,0.6,0.5,0.545
SIR01_sl500_mr15_nv10_13,0.571,0.571,0.571,0.571,0.571,0.571
SIR01_sl500_mr15_nv10_14,0.724,0.538,0.618,0.759,0.564,0.647
SIR01_sl500_mr15_nv10_15,0.625,0.667,0.645,0.645,0.667,0.656
SIR01_sl500_mr15_nv10_16,0.8,0.8,0.8,0.8,0.8,0.8
SIR01_sl500_mr15_nv10_17,0.733,0.846,0.786,0.692,0.692,0.692
SIR01_sl500_mr15_nv10_18,0.722,0.52,0.605,0.7,0.56,0.622
SIR01_sl500_mr15_nv10_19,0.842,0.593,0.696,0.8,0.593,0.681
SIR01_sl500_mr15_nv10_2,0.684,0.619,0.65,0.684,0.619,0.65
SIR01_sl500_mr15_nv10_20,0.909,0.8,0.851,0.909,0.8,0.851
SIR01_sl500_mr15_nv10_3,0.75,0.632,0.686,0.75,0.632,0.686
SIR01_sl500_mr15_nv10_4,0.889,0.653,0.753,0.868,0.673,0.759
SIR01_sl500_mr15_nv10_5,0.787,0.712,0.747,0.75,0.692,0.72
SIR01_sl500_mr15_nv10_6,0.967,1,0.983,0.967,1,0.983
SIR01_sl500_mr15_nv10_7,0.875,1,0.933,0.875,1,0.933
SIR01_sl500_mr15_nv10_8,0.75,0.375,0.5,0.75,0.375,0.5
SIR01_sl500_mr15_nv10_9,0.827,0.754,0.789,0.878,0.754,0.811
,0.772291071428572,0.701962500000002,0.728019642857144,0.774775,0.697494642857144,0.727033928571429
